id,tweet_id,H1,H2,H3,I1,I2,I3,hostility_set1,identity_set1,hostility_set2,identity_set2,hostility_set3,identity_set3
189, 1337257829023530236,hostile,hostile,hostile,race,none,race,hostile,none,hostile,race,hostile,race
191, 1555448693569129980,hostile,hostile,hostile,race,none,race,hostile,race,hostile,race,hostile,race
193, 1546197473331432707,hostile,hostile,hostile,race,none,race,hostile,race,hostile,gender,hostile,none
197, 1470290141992825060,hostile,hostile,hostile,race,race,gender,hostile,race,hostile,race,hostile,race
198, 1487130257649653172,hostile,hostile,hostile,race,race,none,hostile,race,hostile,race,hostile,race
199, 1497355979748699129,hostile,hostile,hostile,race,race,none,hostile,race,hostile,race,hostile,race
200, 1443962397377021865,hostile,hostile,hostile,race,race,none,hostile,race,hostile,race,hostile,race
203, 1377589533671801866,hostile,hostile,hostile,race,race,race,not hostile,none,hostile,race,hostile,race
204, 1512446847767236761,hostile,hostile,hostile,race,race,race,hostile,none,hostile,race,hostile,race
205, 1591610335238678222,hostile,hostile,hostile,race,race,race,not hostile,none,hostile,race,hostile,race
207, 1516379532040629919,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
208, 1578554389804766575,hostile,hostile,hostile,race,race,race,hostile,none,hostile,race,hostile,race
209, 1547459630923523632,hostile,hostile,hostile,race,race,race,not hostile,none,hostile,race,hostile,race
211, 1449666109458126874,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
212, 1351151587617748025,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
215, 1397598643128889553,hostile,hostile,hostile,race,race,none,hostile,race,hostile,race,hostile,race
217, 1333962627598931338,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
218, 1356291329775722529,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
220, 1468281731984927041,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
221, 1503062014741931525,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
222, 1406197033796423914,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
223, 1517149870057729107,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
224, 1232717883436486307,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
225, 1251694841694425986,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
226, 1364163674287148338,hostile,hostile,hostile,race,"race,religion",race,not hostile,none,hostile,race,hostile,"religion,race"
227, 1482968685534316481,hostile,hostile,hostile,race,"race,religion",religion,hostile,race,hostile,race,hostile,"religion,race"
228, 1498500529722446180,hostile,hostile,hostile,race,"race,religion",race,hostile,race,hostile,race,hostile,"religion,race"
229, 1463990177433847254,hostile,hostile,hostile,race,"race,religion",race,hostile,race,hostile,race,hostile,race
230, 1349521660031141622,hostile,hostile,hostile,race,"race,religion",race,hostile,race,hostile,religion,hostile,"religion,race"
231, 1578288422421917435,hostile,hostile,hostile,race,"religion,race",race,not hostile,none,hostile,race,hostile,race
233, 1316498436368595650,hostile,hostile,hostile,race,"religion,race",race,hostile,race,hostile,race,hostile,race
234, 1222539981413950636,hostile,hostile,hostile,"race,gender",gender,"race,gender",hostile,gender,hostile,gender,hostile,"gender,race"
235, 1257503471706912461,hostile,hostile,hostile,"race,gender","gender,race","race,gender",hostile,none,hostile,gender,hostile,"gender,race"
236, 1255448184754822329,hostile,hostile,hostile,"race,gender",none,"race,gender",hostile,race,hostile,gender,hostile,"gender,race"
237, 1388553275290468840,hostile,hostile,hostile,"race,gender",race,"race,gender",hostile,race,hostile,gender,hostile,"gender,race"
242, 1306731678877556922,hostile,hostile,hostile,"race,religion","race,religion",race,hostile,religion,hostile,religion,hostile,"religion,race"
245, 1230110197882433799,hostile,hostile,hostile,religion,gender,religion,hostile,none,hostile,religion,hostile,religion
249, 1393079865470981867,hostile,hostile,hostile,religion,religion,religion,not hostile,none,hostile,religion,hostile,religion
251, 1370351546717722380,hostile,hostile,hostile,religion,religion,religion,hostile,religion,hostile,religion,hostile,religion
253, 1493801577148143267,hostile,hostile,hostile,"religion,race",religion,"religion,race",hostile,religion,hostile,religion,hostile,"religion,race"
259, 1294487474190542179,hostile,hostile,not hostile,none,gender,none,not hostile,none,hostile,none,hostile,none
262, 1473217360789386565,hostile,hostile,not hostile,none,none,none,hostile,none,hostile,none,hostile,none
266, 1222796220653092342,hostile,hostile,not hostile,none,none,none,hostile,none,hostile,none,hostile,none
268, 1570501336059465735,hostile,hostile,not hostile,none,none,none,hostile,none,hostile,none,hostile,none
281, 1340022387940869383,hostile,hostile,not hostile,race,race,none,not hostile,none,hostile,race,hostile,race
282, 1374049393552103801,hostile,hostile,not hostile,race,race,none,hostile,none,hostile,race,hostile,race
283, 1429920951807737945,hostile,hostile,not hostile,race,race,none,not hostile,none,hostile,none,hostile,none
286, 1223687220833286409,hostile,hostile,not hostile,race,race,race,hostile,race,hostile,race,hostile,race
287, 1541245373998116229,hostile,hostile,not hostile,race,race,race,hostile,race,hostile,race,hostile,race
291, 1567898093622654744,hostile,hostile,not hostile,race,race,race,hostile,race,hostile,race,hostile,race
294, 1338187242226638539,hostile,hostile,not hostile,race,"religion,race",none,not hostile,none,hostile,none,hostile,none
296, 1516143589340151864,hostile,hostile,not hostile,religion,gender,none,hostile,none,hostile,gender,hostile,gender
299, 1342598382997414872,hostile,hostile,not hostile,"religion,race",race,"religion,race",hostile,race,hostile,race,hostile,"religion,race"
302, 1248810358004609762,hostile,hostile,hostile,gender,none,gender,hostile,none,hostile,none,hostile,none
312, 1321579229397377554,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
338, 1531590281044423609,hostile,hostile,hostile,race,race,race,hostile,race,hostile,race,hostile,race
341, 1380046265999957310,hostile,not hostile,hostile,gender,none,gender,not hostile,none,hostile,gender,hostile,gender
345, 1430979829017721664,hostile,not hostile,hostile,none,gender,none,not hostile,none,hostile,none,hostile,none
350, 1594453540780312219,hostile,not hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
359, 1552514297816317794,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
365, 1357721581403546231,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
368, 1436359673505609101,hostile,not hostile,hostile,race,none,race,hostile,none,hostile,race,hostile,race
370, 1590325420081178954,hostile,not hostile,hostile,race,none,race,hostile,none,hostile,none,hostile,none
371, 1551868834146638689,hostile,not hostile,hostile,race,none,race,hostile,race,hostile,race,hostile,"gender,race"
372, 1387476890774768305,hostile,not hostile,hostile,race,none,race,hostile,none,hostile,none,hostile,none
375, 1307960325010901439,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
376, 1250707479189772627,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
378, 1315532298011587626,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
380, 1565621652691473756,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
385, 1363172438722908896,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
389, 1315516893652049877,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
391, 1510939386840208422,hostile,not hostile,not hostile,none,none,none,hostile,religion,not hostile,none,not hostile,none
399, 1347032296284238858,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
402, 1256771318046745125,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
407, 1334159652663811796,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
412, 1279915665659733254,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
414, 1303548266235286652,hostile,not hostile,not hostile,none,none,none,not hostile,none,not hostile,none,not hostile,none
415, 1466187591690696019,hostile,not hostile,not hostile,race,none,none,not hostile,none,not hostile,none,not hostile,none
416, 1520652744241819045,hostile,not hostile,not hostile,race,none,none,not hostile,none,not hostile,none,not hostile,none
419, 1244036457537214307,hostile,not hostile,not hostile,race,none,race,not hostile,none,not hostile,none,not hostile,none
420, 1368681366720686732,hostile,not hostile,not hostile,race,none,race,not hostile,none,not hostile,none,not hostile,none
423, 1302531826086552947,hostile,not hostile,not hostile,religion,none,religion,not hostile,none,not hostile,none,not hostile,none
424, 1326009503423100573,hostile,not hostile,not hostile,"religion,race",none,race,hostile,race,not hostile,none,not hostile,none
446, 1342163699865907953,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
447, 1530776782189847345,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
449, 1418763901217908853,hostile,not hostile,hostile,none,none,none,hostile,none,not hostile,none,not hostile,none
450, 1281499466455113763,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
453, 1572730348470627125,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
457, 1555441184451484244,hostile,not hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
462, 1486703687380894230,hostile,hostile,hostile,gender,gender,race,hostile,gender,hostile,gender,hostile,gender
468, 1422215586338762726,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
470, 1257368777814354086,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
471, 1555328672792058679,hostile,hostile,hostile,gender,gender,gender,not hostile,none,hostile,gender,hostile,gender
473, 1344215679886017541,hostile,hostile,hostile,gender,gender,gender,hostile,none,hostile,gender,hostile,gender
483, 1289312968889788702,hostile,hostile,hostile,gender,gender,gender,not hostile,none,hostile,gender,hostile,gender
493, 1303742983309203479,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
494, 1430830131382513571,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,none
501, 1329178314068723590,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
510, 1389115878449080912,hostile,hostile,hostile,"gender,religion","gender,religion","gender,religion",hostile,religion,hostile,religion,hostile,"religion,gender"
515, 1355190550875376542,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
516, 1243036853610786052,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
518, 1285884164191452724,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
521, 1528548468503733618,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
522, 1295876604899699332,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
524, 1527594258581475729,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
535, 1484401677474585364,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
544, 1427215727856765724,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
565, 1457780308690880433,hostile,hostile,hostile,none,none,"race,religion",hostile,none,hostile,none,hostile,none
575, 1490296113993655763,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
585, 1537635246698011923,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
586, 1280125065754497607,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
604, 1289234281011297312,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
612, 1579281161451487534,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
617, 1266978888069200779,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
626, 1334689057593776618,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
631, 1285258815372580001,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
646, 1405010138481577298,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
658, 1546570786669043199,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
660, 1571663520922857732,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
663, 1494661577009495635,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
664, 1566797301436183583,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
665, 1348017746092436125,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
666, 1479023388697067782,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
667, 1558422226124940409,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
668, 1304128403178784369,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
670, 1392095230403540721,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
672, 1240787011000807753,hostile,hostile,hostile,none,none,none,hostile,race,not hostile,none,not hostile,none
675, 1553912839289840422,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
679, 1301568399333148449,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
682, 1278256081712828995,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
685, 1473912841715109429,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
697, 1346609191618736426,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
704, 1334547681179363365,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
716, 1384043925181823561,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
725, 1342367349902543406,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
728, 1397941288032391567,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
730, 1332040934718707819,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
737, 1236500203015496966,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
738, 1550895383882852823,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
743, 1243353550890543391,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
756, 1371746221140815894,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
773, 1282559761035674205,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
782, 1303423866908632657,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
799, 1268863453758604344,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
800, 1380264449490023577,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
802, 1201381572059803758,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
804, 1419896877444590931,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
808, 1202291622363908551,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
814, 1506635603827444041,hostile,hostile,hostile,none,none,none,hostile,race,hostile,none,hostile,none
827, 1550879301152905330,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
839, 1498727527242602490,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
851, 1384424990445252876,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
853, 1330481200190808735,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
855, 1424014808589183411,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
858, 1247492003743195177,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
865, 1402010434165304974,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
871, 1476608536472024207,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
874, 1416973981090055403,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
883, 1478180196228622031,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
886, 1478714393237669855,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
887, 1328252157901482783,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
898, 1527498053041793577,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
907, 1499517899116705243,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
910, 1570875052465679220,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
918, 1518690111954547968,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
931, 1510516478829440733,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
932, 1545033677255390594,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
934, 1225703737446026264,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
938, 1255076783067100100,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
941, 1448873903957828288,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
943, 1523293176902097410,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
944, 1276251966666173004,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
958, 1300965170435140650,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
961, 1371966396325459433,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
975, 1283372150184932310,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1002, 1312151233053476929,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1010, 1279091877091752869,hostile,hostile,hostile,none,none,none,hostile,none,hostile,race,hostile,race
1021, 1442406717567395237,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1026, 1493772844984222844,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1035, 1262611619947653354,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1058, 1208197114930813337,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1070, 1208288210840893956,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1075, 1291520411846695589,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1087, 1301631111265606003,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1090, 1479496922807864853,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1095, 1435410206083191492,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1101, 1558128299479294191,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1108, 1400723324965615665,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1114, 1239530761583973606,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1117, 1395790803931972182,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1118, 1324295479947365761,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1120, 1434704955624889928,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1123, 1359775325342699261,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1136, 1262108257142420167,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1151, 1594647497252088514,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1162, 1356497776881715518,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1163, 1368426867200680638,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1172, 1347459910121689616,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1173, 1413701518749280599,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1174, 1483296830841936847,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1175, 1416687832284678640,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1176, 1487240602237776439,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1177, 1349398423852518283,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1178, 1411792475688589801,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1179, 1576829294645886002,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1180, 1252725286889414199,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1181, 1416107937079263842,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1182, 1531692641356986716,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1187, 1261008185188664476,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1192, 1581592641458507444,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1195, 1338238077565472144,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1197, 1466842619041388736,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1198, 1262090062272301969,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1214, 1424774826637630464,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1222, 1401579547380921386,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1225, 1455442202973868235,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1229, 1463352385402040657,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1247, 1222797337731036400,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1249, 1401912938853786485,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1252, 1510055467634545284,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1254, 1342391613009514775,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
1258, 1412069428150145882,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
