tweet_id,H1,H2,H3,H1_conf,H2_conf,H3_conf,I1,I2,I3,I1_conf,I2_conf,I3_conf,H_set1,I_set1,H_set2,I_set2,H_set3,I_set3
1201579926228492288,hostile,hostile,hostile,4,4,4,gender,"gender,race",gender,4,4,4,hostile,gender,hostile,gender,hostile,gender
1201579926228492288,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1201639474490433541,hostile,hostile,hostile,5,5,5,gender,none,race,5,5,5,hostile,gender,hostile,gender,hostile,none
1201639474490433541,not hostile,not hostile,hostile,2,2,2,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1201643750990237696,hostile,hostile,hostile,5,5,5,gender,none,gender,5,5,5,hostile,none,hostile,none,hostile,none
1201643750990237696,hostile,not hostile,hostile,4,4,4,race,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1201650447066521602,hostile,hostile,hostile,4,4,4,gender,none,gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201650447066521602,hostile,hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204430608207884290,hostile,hostile,hostile,4,4,4,"gender,race",gender,race,4,4,4,hostile,religion,hostile,gender,hostile,"gender,race"
1204430608207884290,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1204433307435446273,hostile,hostile,hostile,5,5,5,"gender,race",gender,"race,gender",5,5,5,not hostile,none,hostile,gender,hostile,"gender,race"
1204433307435446273,not hostile,not hostile,not hostile,4,3,581,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1204434500698148866,hostile,hostile,hostile,4,4,4,"gender,race","gender,race",none,5,5,5,hostile,race,hostile,gender,hostile,"gender,race"
1204434500698148866,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204438152406061058,hostile,hostile,hostile,4,5,5,"gender,race","gender,race","race,gender",5,5,5,hostile,gender,hostile,gender,hostile,"gender,race"
1204438152406061058,not hostile,not hostile,not hostile,5,5,2,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1204440276204433413,hostile,hostile,hostile,5,5,5,"gender,race","gender,religion","gender,religion",5,5,5,hostile,gender,hostile,gender,hostile,"religion,gender"
1204440276204433413,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1204445791873642500,hostile,hostile,hostile,4,4,4,"gender,race",none,race,5,5,5,not hostile,none,hostile,gender,hostile,none
1204445791873642500,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204448922984493063,hostile,hostile,hostile,4,4,4,"gender,race","race,gender","gender,race",5,5,5,hostile,race,hostile,race,hostile,"gender,race"
1204448922984493063,not hostile,not hostile,not hostile,1,1,1,none,none,none,1,1,1,not hostile,none,not hostile,none,not hostile,none
1204466286299889664,hostile,hostile,hostile,4,4,4,none,gender,none,5,5,5,hostile,none,hostile,none,hostile,none
1204466286299889664,not hostile,not hostile,not hostile,4,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204467039013916672,hostile,hostile,hostile,4,3,4,none,"gender,race",none,5,5,5,hostile,race,hostile,gender,hostile,"gender,race"
1204467039013916672,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204472827694501889,hostile,hostile,hostile,3,3,3,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204472827694501889,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204474156395515904,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,race,hostile,none,hostile,none
1204474156395515904,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204474425942380548,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,race,hostile,none,hostile,none
1204474425942380548,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204476133300985857,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1204476133300985857,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204484521372065795,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,gender,hostile,none,hostile,none
1204484521372065795,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204489043326750720,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204489043326750720,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204494571591340032,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204494571591340032,not hostile,not hostile,not hostile,4,5,2,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1204500048903593984,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204500048903593984,not hostile,not hostile,not hostile,4,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204500220924583937,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204500220924583937,hostile,hostile,hostile,4,4,4,religion,religion,religion,5,5,5,hostile,religion,hostile,religion,hostile,religion
1204501919638728704,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204501919638728704,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204503394070777857,hostile,hostile,hostile,4,4,4,none,none,"race,religion",5,5,5,hostile,gender,hostile,none,hostile,none
1204503394070777857,not hostile,not hostile,hostile,5,5,2,none,none,race,5,5,5,not hostile,none,hostile,race,hostile,race
1204506070938468359,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204506070938468359,not hostile,not hostile,not hostile,5,3,2,"race,religion","race,religion","race,religion",4,4,4,not hostile,none,not hostile,none,not hostile,none
1204520829255606273,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204520829255606273,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204531449107488768,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204531449107488768,not hostile,not hostile,not hostile,5,5,2,none,none,none,3,3,3,not hostile,none,not hostile,none,not hostile,none
1204531537804496896,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204531537804496896,not hostile,not hostile,not hostile,5,5,5,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1204535392629858304,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204535392629858304,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204547212828655616,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204547212828655616,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204547599937818624,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204547599937818624,not hostile,not hostile,not hostile,4,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1204551265776259072,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1204551265776259072,not hostile,not hostile,not hostile,5,5,2,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1207825746846191618,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207825746846191618,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1207848996443688960,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207848996443688960,hostile,hostile,hostile,4,4,4,none,none,none,4,4,4,hostile,gender,hostile,none,hostile,none
1207932037467955200,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207932037467955200,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1207932117738500096,hostile,hostile,hostile,3,3,3,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207932117738500096,hostile,hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1207932274303483904,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207932274303483904,not hostile,not hostile,not hostile,3,3,3,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1207933891316727810,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207933891316727810,hostile,hostile,hostile,4,4,4,none,race,race,4,4,4,not hostile,none,hostile,race,hostile,race
1207934013333286912,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207934013333286912,not hostile,hostile,not hostile,4,4,4,none,race,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1207936130026524672,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207936130026524672,hostile,hostile,not hostile,4,4,4,race,race,none,5,5,5,hostile,race,hostile,race,hostile,race
1207938203170328576,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207938203170328576,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,race
1207945969993687040,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207945969993687040,not hostile,not hostile,hostile,4,4,4,none,none,race,4,4,5,hostile,none,not hostile,none,not hostile,none
1207979894485012481,hostile,hostile,hostile,5,5,5,none,race,none,5,5,5,hostile,none,hostile,none,hostile,none
1207979894485012481,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1207980719999537152,hostile,hostile,hostile,5,5,5,none,race,none,5,5,5,hostile,race,hostile,race,hostile,race
1207980719999537152,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1207981481622159360,hostile,hostile,hostile,4,4,4,none,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1207981481622159360,not hostile,not hostile,not hostile,5,4,4,none,none,none,4,4,5,hostile,race,not hostile,none,not hostile,none
1207982197933793280,hostile,hostile,hostile,5,5,5,none,race,none,5,5,5,hostile,none,hostile,none,hostile,none
1207982197933793280,not hostile,not hostile,not hostile,4,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1207982479757447168,hostile,hostile,hostile,1,1,1,none,religion,none,1,1,1,hostile,race,hostile,none,hostile,none
1207982479757447168,hostile,not hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,race,hostile,none,hostile,none
1207984501416243200,hostile,hostile,hostile,3,3,3,race,gender,race,5,5,5,hostile,none,hostile,race,hostile,race
1207984501416243200,not hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1207985958177648640,hostile,hostile,hostile,5,5,5,race,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1207985958177648640,hostile,hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1207986371866091520,hostile,hostile,hostile,5,5,5,race,none,race,5,5,5,hostile,none,hostile,race,hostile,race
1207986371866091520,hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1207987448489398275,hostile,hostile,hostile,5,5,5,race,none,race,5,5,5,hostile,race,hostile,race,hostile,race
1207987448489398275,not hostile,hostile,hostile,4,4,4,none,"gender,race",none,5,5,5,not hostile,none,hostile,none,hostile,none
1207987462817091589,hostile,hostile,hostile,5,5,5,race,none,race,5,5,5,hostile,race,hostile,gender,hostile,none
1207987462817091589,not hostile,not hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1207989211246272512,hostile,hostile,hostile,5,5,5,race,race,gender,4,4,4,hostile,race,hostile,race,hostile,race
1207989211246272512,hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1207989686486097920,hostile,hostile,hostile,5,5,5,race,race,none,5,5,5,hostile,race,hostile,race,hostile,race
1207989686486097920,not hostile,not hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1207992640471523328,hostile,hostile,hostile,5,5,5,race,race,none,5,5,5,hostile,race,hostile,race,hostile,race
1207992640471523328,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1207994280637337600,hostile,hostile,hostile,4,4,4,race,race,none,5,5,5,hostile,race,hostile,race,hostile,race
1207994280637337600,hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1208002396649119745,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,race
1208002396649119745,hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,hostile,none,not hostile,none,not hostile,none
1208002586080632832,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,none,hostile,race,hostile,race
1208002586080632832,hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1208008183693938690,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,race
1208008183693938690,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1208027473985847302,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1208027473985847302,hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1208030152569040902,hostile,hostile,hostile,4,4,4,race,race,race,4,4,4,hostile,none,hostile,race,hostile,race
1208030152569040902,hostile,not hostile,not hostile,1,1,1,none,none,none,1,1,1,hostile,none,not hostile,none,not hostile,none
1208033235218968578,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,race
1208033235218968578,not hostile,hostile,hostile,5,5,5,none,race,none,5,5,5,not hostile,none,hostile,none,hostile,none
1208062274407141382,hostile,hostile,hostile,5,5,5,none,gender,none,5,5,5,not hostile,none,hostile,none,hostile,none
1208062274407141382,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1208066701360861187,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1208066701360861187,not hostile,not hostile,not hostile,5,5,5,none,none,none,3,3,3,hostile,none,not hostile,none,not hostile,none
1216873270827454464,hostile,hostile,hostile,3,3,3,race,race,none,5,5,5,hostile,race,hostile,race,hostile,race
1216873270827454464,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1216876502165397505,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1216876502165397505,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1216881514622935040,hostile,hostile,hostile,4,4,4,race,race,race,4,4,4,hostile,race,hostile,race,hostile,race
1216881514622935040,not hostile,not hostile,not hostile,5,5,5,none,none,none,4,4,4,hostile,none,not hostile,none,not hostile,none
1216882416255750144,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1216882416255750144,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,none
1216891244011540480,hostile,hostile,hostile,4,4,596,race,race,race,4,4,5,hostile,race,hostile,race,hostile,race
1216891244011540480,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,hostile,race,not hostile,none,not hostile,none
1216914963933138951,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1216914963933138951,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1216951894448508930,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1216951894448508930,hostile,hostile,hostile,4,4,4,race,race,race,5,5,5,hostile,none,hostile,race,hostile,race
1216958075535548417,hostile,hostile,hostile,3,3,3,race,race,race,4,4,4,hostile,race,hostile,race,hostile,race
1216958075535548417,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,race,hostile,none,hostile,none
1216983383932317696,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1216983383932317696,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1216986530620891137,hostile,hostile,hostile,5,5,5,race,"race,religion",race,5,5,5,not hostile,none,hostile,race,hostile,"religion,race"
1216986530620891137,not hostile,not hostile,not hostile,3,3,589,race,race,race,5,5,5,not hostile,none,not hostile,none,not hostile,none
1216994935532068865,hostile,hostile,hostile,4,4,4,race,"race,religion",religion,4,4,4,hostile,race,hostile,race,hostile,"religion,race"
1216994935532068865,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1216996211816910849,hostile,hostile,hostile,5,5,5,race,"race,religion",race,5,5,5,hostile,race,hostile,race,hostile,"religion,race"
1216996211816910849,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1216998068865900550,hostile,hostile,hostile,3,3,3,race,"race,religion",race,2,2,2,hostile,race,hostile,race,hostile,race
1216998068865900550,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1216998184104464384,hostile,hostile,hostile,4,4,4,race,"race,religion",race,5,5,5,hostile,race,hostile,religion,hostile,"religion,race"
1216998184104464384,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1216999653868105729,hostile,hostile,hostile,5,5,5,race,"religion,race",race,5,5,5,not hostile,none,hostile,race,hostile,race
1216999653868105729,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1217003473499193344,hostile,hostile,hostile,5,5,5,race,"religion,race",race,5,5,5,hostile,race,hostile,race,hostile,race
1217003473499193344,not hostile,not hostile,not hostile,3,3,3,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1217003567732731906,hostile,hostile,hostile,5,5,5,"race,gender",gender,"race,gender",5,5,5,hostile,gender,hostile,gender,hostile,"gender,race"
1217003567732731906,hostile,hostile,hostile,4,4,4,none,none,none,4,4,4,not hostile,none,hostile,none,hostile,none
1217009941359353856,hostile,hostile,hostile,5,5,5,"race,gender","gender,race","race,gender",4,4,4,hostile,none,hostile,gender,hostile,"gender,race"
1217009941359353856,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,race
1217014646953205760,hostile,hostile,hostile,4,4,4,"race,gender",none,"race,gender",2,2,2,hostile,race,hostile,gender,hostile,"gender,race"
1217014646953205760,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,not hostile,none,hostile,race,hostile,race
1223041276788006913,hostile,hostile,hostile,4,4,4,"race,gender",race,"race,gender",5,5,5,hostile,race,hostile,gender,hostile,"gender,race"
1223041276788006913,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1223046084626386945,hostile,hostile,hostile,5,4,597,"race,religion","race,religion",race,5,5,5,hostile,religion,hostile,religion,hostile,"religion,race"
1223046084626386945,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223046416521580546,hostile,hostile,hostile,4,4,4,religion,gender,religion,5,5,5,hostile,none,hostile,religion,hostile,religion
1223046416521580546,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223049510617845762,hostile,hostile,hostile,5,5,5,religion,religion,religion,5,5,5,not hostile,none,hostile,religion,hostile,religion
1223049510617845762,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223050109115621377,hostile,hostile,hostile,5,5,5,religion,religion,religion,5,5,5,hostile,religion,hostile,religion,hostile,religion
1223050109115621377,hostile,hostile,hostile,4,4,4,none,none,none,4,4,4,hostile,race,hostile,none,hostile,none
1223077882915958784,hostile,hostile,hostile,4,5,5,"religion,race",religion,"religion,race",4,4,5,hostile,religion,hostile,religion,hostile,"religion,race"
1223077882915958784,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,none,hostile,race,hostile,race
1223144131121307649,hostile,hostile,not hostile,3,3,3,none,gender,none,5,5,5,not hostile,none,hostile,none,hostile,none
1223144131121307649,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1223144383693959169,hostile,hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223144383693959169,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1223144397438640134,hostile,hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223144397438640134,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
1223144671704121344,hostile,hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223144671704121344,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1223145028392030208,hostile,hostile,not hostile,5,5,5,race,race,none,5,5,5,not hostile,none,hostile,race,hostile,race
1223145028392030208,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1223145070897049600,hostile,hostile,not hostile,4,4,4,race,race,none,4,4,4,hostile,none,hostile,race,hostile,race
1223145070897049600,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1223145212840677376,hostile,hostile,not hostile,5,5,5,race,race,none,4,4,4,not hostile,none,hostile,none,hostile,none
1223145212840677376,hostile,hostile,hostile,2,2,2,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1223146816058818562,hostile,hostile,not hostile,4,4,4,race,race,race,4,4,4,hostile,race,hostile,race,hostile,race
1223146816058818562,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1223147437277241345,hostile,hostile,not hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1223147437277241345,hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223147947849854976,hostile,hostile,not hostile,4,4,4,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1223147947849854976,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1223148494204153856,hostile,hostile,not hostile,3,3,3,race,"religion,race",none,5,5,5,not hostile,none,hostile,none,hostile,none
1223148494204153856,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,gender,hostile,none
1223149253171781633,hostile,hostile,not hostile,4,4,4,religion,gender,none,5,5,5,hostile,none,hostile,gender,hostile,gender
1223149253171781633,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,race,not hostile,none,not hostile,none
1223149386647117825,hostile,hostile,not hostile,5,5,5,"religion,race",race,"religion,race",5,5,5,hostile,race,hostile,race,hostile,"religion,race"
1223149386647117825,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1223151683800379392,hostile,hostile,hostile,5,5,5,gender,none,gender,5,5,5,hostile,none,hostile,none,hostile,none
1223151683800379392,not hostile,not hostile,not hostile,3,3,3,none,none,none,4,4,4,hostile,none,not hostile,none,not hostile,none
1223156762548801537,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
1223156762548801537,not hostile,not hostile,not hostile,4,4,4,none,none,none,4,4,4,not hostile,none,not hostile,none,not hostile,none
1223162905497161728,hostile,hostile,hostile,5,5,5,race,race,race,5,5,5,hostile,race,hostile,race,hostile,race
1223162905497161728,not hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1223164100882108416,hostile,not hostile,hostile,3,3,3,gender,none,gender,4,4,4,not hostile,none,hostile,gender,hostile,gender
1223164100882108416,hostile,hostile,hostile,5,5,5,none,none,none,5,5,5,hostile,none,hostile,none,hostile,none
